Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Microsoft.AspNet.Mvc 4.0.20710.0,,,,,"Microsoft.AspNet.Mvc, 4.0.20710.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Microsoft.AspNet.Razor 2.0.20710.0,,,,,"Microsoft.AspNet.Razor, 2.0.20710.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Microsoft.AspNet.WebApi 4.0.20710.0,,,,,"Microsoft.AspNet.WebApi, 4.0.20710.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Microsoft.AspNet.WebApi.Client 4.0.20710.0,,,,,"Microsoft.AspNet.WebApi.Client, 4.0.20710.0  Recommendation:  Microsoft.AspNet.WebApi.Client, 6.0.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Microsoft.AspNet.WebApi.Core 4.0.20710.0,,,,,"Microsoft.AspNet.WebApi.Core, 4.0.20710.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Microsoft.AspNet.WebApi.WebHost 4.0.20710.0,,,,,"Microsoft.AspNet.WebApi.WebHost, 4.0.20710.0  Recommendation:  No supported version found"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Microsoft.AspNet.WebPages 2.0.20710.0,,,,,"Microsoft.AspNet.WebPages, 2.0.20710.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Microsoft.Net.Http 2.0.20710.0,,,,,"Microsoft.Net.Http, 2.0.20710.0  Recommendation:  Remove Microsoft.Net.Http, and replace with new package System.Net.Http 4.3.4"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Microsoft.Web.Infrastructure 1.0.0.0,,,,,"Microsoft.Web.Infrastructure, 1.0.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Newtonsoft.Json 4.5.10,,,,,"Newtonsoft.Json, 4.5.10  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,PathfinderDb.Schema 1.0.1,,,,,"PathfinderDb.Schema, 1.0.1  Recommendation:  No supported version found"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Microsoft.Net.Http 2.0.20710.0,,,,,"Microsoft.Net.Http, 2.0.20710.0  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.Net.Http, and replace with new package Microsoft.Net.Http, 2.0.20710"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Newtonsoft.Json 4.5.10,,,,,"Newtonsoft.Json, 4.5.10  Recommendation:  Newtonsoft.Json, 13.0.4"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
Feature.1000,Convert application initialization code from Global.asax.cs to .NET Core and clean up Global.asax.cs,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Global.asax.cs,,,,,,,,
Feature.0003,GlobalFilterCollection is not supported in .NET Core and needs to be converted to the corresponding middleware registrations on the application object,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Global.asax.cs,,,,,,,,
Feature.0003,GlobalFilterCollection is not supported in .NET Core and needs to be converted to the corresponding middleware registrations on the application object,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\FilterConfig.cs,,,,,,,,
Feature.0002,Routes registration via RouteCollection is not supported in .NET Core and needs to be converted to the route mappings on the application object,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Global.asax.cs,,,,,,,,
Feature.0002,Routes registration via RouteCollection is not supported in .NET Core and needs to be converted to the route mappings on the application object,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\RouteConfig.cs,,,,,,,,
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Controllers\SpellController.cs,12,8,T:System.Web.Mvc.ActionResult,,,,,public ActionResult Index(SpellIndexQuery query)
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Controllers\SpellController.cs,39,12,T:System.Web.Mvc.ViewResult,,,,,return this.View(model);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Controllers\SpellController.cs,39,12,M:System.Web.Mvc.Controller.View(System.Object),,,,,return this.View(model);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Controllers\SpellController.cs,10,35,M:System.Web.Mvc.Controller.#ctor,,,,,Controller
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Controllers\SpellController.cs,10,35,T:System.Web.Mvc.Controller,,,,,Controller
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Controllers\ControllerExtensions.cs,6,8,T:System.Web.Mvc.Controller,,,,,public static PathfinderDb.Schema.DataSet DataSet(this Controller controller)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Controllers\ControllerExtensions.cs,8,12,T:System.Web.HttpServerUtilityBase,,,,,return Models.MemoryDataSet.LoadDataSet(controller.Server);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Controllers\ControllerExtensions.cs,8,12,P:System.Web.Mvc.Controller.Server,,,,,return Models.MemoryDataSet.LoadDataSet(controller.Server);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Controllers\FeatController.cs,11,8,T:System.Web.Mvc.ActionResult,,,,,public ActionResult Index(FeatIndexQuery query)
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Controllers\FeatController.cs,77,12,T:System.Web.Mvc.ViewResult,,,,,return View(model);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Controllers\FeatController.cs,77,12,M:System.Web.Mvc.Controller.View(System.Object),,,,,return View(model);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Controllers\FeatController.cs,9,34,M:System.Web.Mvc.Controller.#ctor,,,,,Controller
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Controllers\FeatController.cs,9,34,T:System.Web.Mvc.Controller,,,,,Controller
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Controllers\HomeController.cs,13,8,T:System.Web.Mvc.ActionResult,,,,,public ActionResult Index()
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Controllers\HomeController.cs,15,12,T:System.Web.Mvc.ViewResult,,,,,return View();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Controllers\HomeController.cs,15,12,M:System.Web.Mvc.Controller.View,,,,,return View();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Controllers\HomeController.cs,8,34,M:System.Web.Mvc.Controller.#ctor,,,,,Controller
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Controllers\HomeController.cs,8,34,T:System.Web.Mvc.Controller,,,,,Controller
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\NumberInterval.cs,22,8,T:System.Web.Routing.RouteValueDictionary,,,,,"public void AddTo(RouteValueDictionary routeValues, string prefix)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\NumberInterval.cs,25,12,"M:System.Web.Routing.RouteValueDictionary.Add(System.String,System.Object)",,,,,"routeValues.Add(prefix + "".Max"", this.Max);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\NumberInterval.cs,24,12,"M:System.Web.Routing.RouteValueDictionary.Add(System.String,System.Object)",,,,,"routeValues.Add(prefix + "".Min"", this.Min);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\FeatExtensions.cs,51,16,T:System.Web.Mvc.MvcHtmlString,,,,,inner = featPrerequisiteDecoration(prereq).ToString();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\FeatExtensions.cs,51,16,M:System.Web.HtmlString.ToString,,,,,inner = featPrerequisiteDecoration(prereq).ToString();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\FeatExtensions.cs,11,8,T:System.Web.WebPages.HelperResult,,,,,"public static HelperResult RenderPrerequisites(this Feat feat, Func<FeatPrerequisite, MvcHtmlString> featPrerequisiteDecoration)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\FeatExtensions.cs,14,12,T:System.Web.WebPages.HelperResult,,,,,"return new HelperResult(w =>              {                  for (int i = 0; i < prerequisites.Length; i++)                  {                      if (i != 0)                      {                          w.Write("", "");                      }                      var prerequisite = prerequisites[i];                      if (prerequisite is FeatPrerequisite)                      {                          RenderPrerequisite((FeatPrerequisite)prerequisite, w, featPrerequisiteDecoration);                      }                      else                      {                          var items = ((FeatPrerequisiteChoice)prerequisite).Items;                          for (int j = 0; j < items.Length; j++)                          {                              if (j != 0)                              {                                  w.Write("" ou "");                              }                              var choice = items[j];                              RenderPrerequisite(choice, w, featPrerequisiteDecoration);                            }                      }                  }              });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\FeatExtensions.cs,14,12,M:System.Web.WebPages.HelperResult.#ctor(System.Action{System.IO.TextWriter}),,,,,"return new HelperResult(w =>              {                  for (int i = 0; i < prerequisites.Length; i++)                  {                      if (i != 0)                      {                          w.Write("", "");                      }                      var prerequisite = prerequisites[i];                      if (prerequisite is FeatPrerequisite)                      {                          RenderPrerequisite((FeatPrerequisite)prerequisite, w, featPrerequisiteDecoration);                      }                      else                      {                          var items = ((FeatPrerequisiteChoice)prerequisite).Items;                          for (int j = 0; j < items.Length; j++)                          {                              if (j != 0)                              {                                  w.Write("" ou "");                              }                              var choice = items[j];                              RenderPrerequisite(choice, w, featPrerequisiteDecoration);                            }                      }                  }              });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\FeatIndexQuery.cs,64,8,T:System.Web.Routing.RouteValueDictionary,,,,,public RouteValueDictionary AsRouteValue()
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\FeatIndexQuery.cs,66,12,"M:System.Web.Routing.RouteValueDictionary.Add(System.String,System.Object)",,,,,"var result = new RouteValueDictionary {                  { ""Sources"", this.Sources },                  { ""Types"", this.Types },                  { ""ViewMode"", this.ViewMode },                  { ""ClassLevels"", this.ClassLevels },                  { ""Races"", this.Races },              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\FeatIndexQuery.cs,66,12,"M:System.Web.Routing.RouteValueDictionary.Add(System.String,System.Object)",,,,,"var result = new RouteValueDictionary {                  { ""Sources"", this.Sources },                  { ""Types"", this.Types },                  { ""ViewMode"", this.ViewMode },                  { ""ClassLevels"", this.ClassLevels },                  { ""Races"", this.Races },              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\FeatIndexQuery.cs,66,12,"M:System.Web.Routing.RouteValueDictionary.Add(System.String,System.Object)",,,,,"var result = new RouteValueDictionary {                  { ""Sources"", this.Sources },                  { ""Types"", this.Types },                  { ""ViewMode"", this.ViewMode },                  { ""ClassLevels"", this.ClassLevels },                  { ""Races"", this.Races },              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\FeatIndexQuery.cs,66,12,"M:System.Web.Routing.RouteValueDictionary.Add(System.String,System.Object)",,,,,"var result = new RouteValueDictionary {                  { ""Sources"", this.Sources },                  { ""Types"", this.Types },                  { ""ViewMode"", this.ViewMode },                  { ""ClassLevels"", this.ClassLevels },                  { ""Races"", this.Races },              };"
