Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\FeatIndexQuery.cs,66,12,"M:System.Web.Routing.RouteValueDictionary.Add(System.String,System.Object)",,,,,"var result = new RouteValueDictionary {                  { ""Sources"", this.Sources },                  { ""Types"", this.Types },                  { ""ViewMode"", this.ViewMode },                  { ""ClassLevels"", this.ClassLevels },                  { ""Races"", this.Races },              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\FeatIndexQuery.cs,66,12,T:System.Web.Routing.RouteValueDictionary,,,,,"var result = new RouteValueDictionary {                  { ""Sources"", this.Sources },                  { ""Types"", this.Types },                  { ""ViewMode"", this.ViewMode },                  { ""ClassLevels"", this.ClassLevels },                  { ""Races"", this.Races },              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\FeatIndexQuery.cs,66,12,M:System.Web.Routing.RouteValueDictionary.#ctor,,,,,"var result = new RouteValueDictionary {                  { ""Sources"", this.Sources },                  { ""Types"", this.Types },                  { ""ViewMode"", this.ViewMode },                  { ""ClassLevels"", this.ClassLevels },                  { ""Races"", this.Races },              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\SpellIndexQuery.cs,57,8,T:System.Web.Routing.RouteValueDictionary,,,,,public RouteValueDictionary AsRouteValue()
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\SpellIndexQuery.cs,59,12,"M:System.Web.Routing.RouteValueDictionary.Add(System.String,System.Object)",,,,,"var result = new RouteValueDictionary {                  { ""Sources"", this.Sources },                  { ""List"", this.List },                  { ""ViewMode"", this.ViewMode == SpellIndexViewMode.Alphabetical ? (SpellIndexViewMode?)null : this.ViewMode },              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\SpellIndexQuery.cs,59,12,"M:System.Web.Routing.RouteValueDictionary.Add(System.String,System.Object)",,,,,"var result = new RouteValueDictionary {                  { ""Sources"", this.Sources },                  { ""List"", this.List },                  { ""ViewMode"", this.ViewMode == SpellIndexViewMode.Alphabetical ? (SpellIndexViewMode?)null : this.ViewMode },              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\SpellIndexQuery.cs,59,12,"M:System.Web.Routing.RouteValueDictionary.Add(System.String,System.Object)",,,,,"var result = new RouteValueDictionary {                  { ""Sources"", this.Sources },                  { ""List"", this.List },                  { ""ViewMode"", this.ViewMode == SpellIndexViewMode.Alphabetical ? (SpellIndexViewMode?)null : this.ViewMode },              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\SpellIndexQuery.cs,59,12,T:System.Web.Routing.RouteValueDictionary,,,,,"var result = new RouteValueDictionary {                  { ""Sources"", this.Sources },                  { ""List"", this.List },                  { ""ViewMode"", this.ViewMode == SpellIndexViewMode.Alphabetical ? (SpellIndexViewMode?)null : this.ViewMode },              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\SpellIndexQuery.cs,59,12,M:System.Web.Routing.RouteValueDictionary.#ctor,,,,,"var result = new RouteValueDictionary {                  { ""Sources"", this.Sources },                  { ""List"", this.List },                  { ""ViewMode"", this.ViewMode == SpellIndexViewMode.Alphabetical ? (SpellIndexViewMode?)null : this.ViewMode },              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\SpellIndexQuery.cs,16,9,"M:System.ComponentModel.DefaultValueAttribute.#ctor(System.Type,System.String)",,,,,"DefaultValue(typeof(SpellIndexViewMode), ""Alphabetical"")"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\MemoryDataSet.cs,30,8,T:System.Web.HttpServerUtilityBase,,,,,public static DataSet LoadDataSet(HttpServerUtilityBase server)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Models\MemoryDataSet.cs,40,24,M:System.Web.HttpServerUtilityBase.MapPath(System.String),,,,,"foreach (var ds in Directory.GetFiles(server.MapPath(""~/App_Data""), ""*.xml"").Where(p => DataSetNames.Any(ds => ds == Path.GetFileNameWithoutExtension(p))).Select(p => LoadDataSet(p)))                          {                              dataSets.Add(ds);                              dataSet.Add(ds);                          }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\RouteConfig.cs,11,8,T:System.Web.Routing.RouteCollection,,,,,public static void RegisterRoutes(RouteCollection routes)
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\RouteConfig.cs,15,12,T:System.Web.Mvc.UrlParameter,,,,,"routes.MapRoute(                  name: ""Default"",                  url: ""{controller}/{action}/{id}"",                  defaults: new { controller = ""Home"", action = ""Index"", id = UrlParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\RouteConfig.cs,15,12,T:System.Web.Mvc.UrlParameter,,,,,"routes.MapRoute(                  name: ""Default"",                  url: ""{controller}/{action}/{id}"",                  defaults: new { controller = ""Home"", action = ""Index"", id = UrlParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\RouteConfig.cs,15,12,F:System.Web.Mvc.UrlParameter.Optional,,,,,"routes.MapRoute(                  name: ""Default"",                  url: ""{controller}/{action}/{id}"",                  defaults: new { controller = ""Home"", action = ""Index"", id = UrlParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\RouteConfig.cs,15,12,T:System.Web.Mvc.UrlParameter,,,,,"routes.MapRoute(                  name: ""Default"",                  url: ""{controller}/{action}/{id}"",                  defaults: new { controller = ""Home"", action = ""Index"", id = UrlParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\RouteConfig.cs,15,12,T:System.Web.Mvc.RouteCollectionExtensions,,,,,"routes.MapRoute(                  name: ""Default"",                  url: ""{controller}/{action}/{id}"",                  defaults: new { controller = ""Home"", action = ""Index"", id = UrlParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\RouteConfig.cs,15,12,T:System.Web.Routing.Route,,,,,"routes.MapRoute(                  name: ""Default"",                  url: ""{controller}/{action}/{id}"",                  defaults: new { controller = ""Home"", action = ""Index"", id = UrlParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\RouteConfig.cs,15,12,"M:System.Web.Mvc.RouteCollectionExtensions.MapRoute(System.Web.Routing.RouteCollection,System.String,System.String,System.Object)",,,,,"routes.MapRoute(                  name: ""Default"",                  url: ""{controller}/{action}/{id}"",                  defaults: new { controller = ""Home"", action = ""Index"", id = UrlParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\RouteConfig.cs,13,12,T:System.Web.Mvc.RouteCollectionExtensions,,,,,"routes.IgnoreRoute(""{resource}.axd/{*pathInfo}"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\RouteConfig.cs,13,12,"M:System.Web.Mvc.RouteCollectionExtensions.IgnoreRoute(System.Web.Routing.RouteCollection,System.String)",,,,,"routes.IgnoreRoute(""{resource}.axd/{*pathInfo}"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\WebApiConfig.cs,9,8,T:System.Web.Http.HttpConfiguration,,,,,public static void Register(HttpConfiguration config)
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\WebApiConfig.cs,11,12,T:System.Web.Http.RouteParameter,,,,,"config.Routes.MapHttpRoute(                  name: ""DefaultApi"",                  routeTemplate: ""api/{controller}/{id}"",                  defaults: new { id = RouteParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\WebApiConfig.cs,11,12,T:System.Web.Http.RouteParameter,,,,,"config.Routes.MapHttpRoute(                  name: ""DefaultApi"",                  routeTemplate: ""api/{controller}/{id}"",                  defaults: new { id = RouteParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\WebApiConfig.cs,11,12,F:System.Web.Http.RouteParameter.Optional,,,,,"config.Routes.MapHttpRoute(                  name: ""DefaultApi"",                  routeTemplate: ""api/{controller}/{id}"",                  defaults: new { id = RouteParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\WebApiConfig.cs,11,12,T:System.Web.Http.RouteParameter,,,,,"config.Routes.MapHttpRoute(                  name: ""DefaultApi"",                  routeTemplate: ""api/{controller}/{id}"",                  defaults: new { id = RouteParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\WebApiConfig.cs,11,12,T:System.Web.Http.HttpRouteCollection,,,,,"config.Routes.MapHttpRoute(                  name: ""DefaultApi"",                  routeTemplate: ""api/{controller}/{id}"",                  defaults: new { id = RouteParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\WebApiConfig.cs,11,12,P:System.Web.Http.HttpConfiguration.Routes,,,,,"config.Routes.MapHttpRoute(                  name: ""DefaultApi"",                  routeTemplate: ""api/{controller}/{id}"",                  defaults: new { id = RouteParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\WebApiConfig.cs,11,12,T:System.Web.Http.HttpRouteCollectionExtensions,,,,,"config.Routes.MapHttpRoute(                  name: ""DefaultApi"",                  routeTemplate: ""api/{controller}/{id}"",                  defaults: new { id = RouteParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\WebApiConfig.cs,11,12,T:System.Web.Http.Routing.IHttpRoute,,,,,"config.Routes.MapHttpRoute(                  name: ""DefaultApi"",                  routeTemplate: ""api/{controller}/{id}"",                  defaults: new { id = RouteParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\WebApiConfig.cs,11,12,"M:System.Web.Http.HttpRouteCollectionExtensions.MapHttpRoute(System.Web.Http.HttpRouteCollection,System.String,System.String,System.Object)",,,,,"config.Routes.MapHttpRoute(                  name: ""DefaultApi"",                  routeTemplate: ""api/{controller}/{id}"",                  defaults: new { id = RouteParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\FilterConfig.cs,7,8,T:System.Web.Mvc.GlobalFilterCollection,,,,,public static void RegisterGlobalFilters(GlobalFilterCollection filters)
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\FilterConfig.cs,9,12,T:System.Web.Mvc.HandleErrorAttribute,,,,,filters.Add(new HandleErrorAttribute());
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\FilterConfig.cs,9,12,M:System.Web.Mvc.HandleErrorAttribute.#ctor,,,,,filters.Add(new HandleErrorAttribute());
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\App_Start\FilterConfig.cs,9,12,M:System.Web.Mvc.GlobalFilterCollection.Add(System.Object),,,,,filters.Add(new HandleErrorAttribute());
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Global.asax.cs,20,12,T:System.Web.Routing.RouteTable,,,,,RouteConfig.RegisterRoutes(RouteTable.Routes);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Global.asax.cs,20,12,T:System.Web.Routing.RouteCollection,,,,,RouteConfig.RegisterRoutes(RouteTable.Routes);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Global.asax.cs,20,12,P:System.Web.Routing.RouteTable.Routes,,,,,RouteConfig.RegisterRoutes(RouteTable.Routes);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Global.asax.cs,19,12,T:System.Web.Mvc.GlobalFilters,,,,,FilterConfig.RegisterGlobalFilters(GlobalFilters.Filters);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Global.asax.cs,19,12,T:System.Web.Mvc.GlobalFilterCollection,,,,,FilterConfig.RegisterGlobalFilters(GlobalFilters.Filters);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Global.asax.cs,19,12,P:System.Web.Mvc.GlobalFilters.Filters,,,,,FilterConfig.RegisterGlobalFilters(GlobalFilters.Filters);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Global.asax.cs,18,12,T:System.Web.Http.GlobalConfiguration,,,,,WebApiConfig.Register(GlobalConfiguration.Configuration);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Global.asax.cs,18,12,T:System.Web.Http.HttpConfiguration,,,,,WebApiConfig.Register(GlobalConfiguration.Configuration);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Global.asax.cs,18,12,P:System.Web.Http.GlobalConfiguration.Configuration,,,,,WebApiConfig.Register(GlobalConfiguration.Configuration);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Global.asax.cs,16,12,T:System.Web.Mvc.AreaRegistration,,,,,AreaRegistration.RegisterAllAreas();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Global.asax.cs,16,12,M:System.Web.Mvc.AreaRegistration.RegisterAllAreas,,,,,AreaRegistration.RegisterAllAreas();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Global.asax.cs,12,45,M:System.Web.HttpApplication.#ctor,,,,,HttpApplication
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\Global.asax.cs,12,45,T:System.Web.HttpApplication,,,,,HttpApplication
